ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
PSCI-001,2005C,IAN STEVEN LUSTICK,2.75,2.72,3.10,2.64,2.85
PSCI-009,2008A,DAMON S LINKER,3.15,2.00,3.31,3.08,2.77
PSCI-050,2008B,EILEEN DOHERTY-SIL,3.38,2.25,3.69,3.50,2.44
PSCI-113,2016A,SUMANTRA SEN,1.67,3.17,1.82,2.08,1.25
PSCI-115,2005A,BRITT A CARTRITE,3.13,1.93,3.43,3.27,2.13
PSCI-130,2016C,MATTHEW STEPHEN LEVENDUSKY,2.49,2.58,2.75,2.90,2.59
PSCI-131,2016A,DOMINIC R TIERNEY,3.35,2.81,3.50,3.51,2.83
PSCI-134,2010A,HENRY J TEUNE,2.17,2.55,2.33,1.90,2.18
PSCI-150,2016C,EDWARD D MANSFIELD,2.36,2.82,2.47,2.67,2.72
PSCI-151,2016A,AVERY M GOLDSTEIN,3.05,2.75,3.41,3.27,2.63
PSCI-181,2016C,LOREN C GOLDMAN,3.34,2.35,3.66,3.74,2.46
PSCI-198,2016A,HOCINE FETNI,3.16,2.82,3.37,3.47,2.29
PSCI-211,2016C,ROBERT VITALIS,2.55,2.51,2.89,3.10,2.75
PSCI-212,2008C,JENNIFER A. AMYX,3.07,2.50,3.29,2.79,2.43
PSCI-214,2013C,YUHUA WANG,3.33,2.67,3.64,3.41,2.53
PSCI-234,2013A,JUSTIN WERT,2.85,2.49,2.89,2.92,2.41
PSCI-238,2007A,JOHN S. LAPINSKI,2.29,2.23,2.57,2.03,2.20
PSCI-250,2007A,HEINER SCHULZ,3.00,2.43,2.90,2.43,2.43
PSCI-251,2016A,IAN STEVEN LUSTICK,3.10,3.20,3.08,3.61,3.14
PSCI-255,2015C,ALEX WEISIGER,3.14,2.87,3.29,3.30,2.78
PSCI-257,2013C,FRANCINE R FRANKEL,1.83,2.67,1.83,2.17,3.33
PSCI-298,2016C,DEBORAH HARROLD,3.00,2.23,3.17,3.46,2.38
PSCI-310,2002A,JULIA LYNCH,3.46,3.38,3.85,3.38,3.77
PSCI-330,2016C,DEIRDRE MARTINEZ,3.33,1.91,3.58,3.55,2.36
PSCI-358,2016C,HOCINE FETNI,2.44,1.90,2.74,2.90,1.86
PSCI-386,2002C,WILLIAM F HARRIS,3.53,3.63,3.78,3.68,3.16
PSCI-398,2016C,DAVID J DUTWIN,2.86,2.14,2.86,3.29,2.14
PSCI-498,2016C,JEFFREY E. GREEN,4.00,3.09,4.00,4.00,3.09
PSCI-510,2010A,JACK H NAGEL,3.67,3.00,3.67,3.67,3.67
PSCI-598,2016C,NANCY J. HIRSCHMANN,3.38,3.43,3.88,3.43,3.43
PSCI-013,2002C,GRAHAM G DODDS,3.47,2.67,3.67,3.67,3.07
PSCI-110,2016A,ROBERT VITALIS,2.79,2.20,3.06,3.25,2.50
PSCI-154,2005C,NADIVAH B. GREENBERG,3.36,2.15,3.50,3.36,2.21
PSCI-156,2013A,STEPHEN GALE,2.18,2.50,2.00,2.80,1.20
PSCI-213,2016C,TULIA G. FALLETI,3.00,2.52,2.86,3.12,2.68
PSCI-217,2016C,RUDRA SIL,3.04,2.31,3.25,3.33,2.10
PSCI-237,2014C,MARIE GOTTSCHALK,3.46,3.36,3.54,3.64,3.82
PSCI-239,2012C,MATTHEW STEPHEN LEVENDUSKY,3.00,1.95,3.00,3.10,2.35
PSCI-253,2015A,IAN STEVEN LUSTICK,3.04,3.32,3.16,3.46,3.34
PSCI-295,2004A,REGINA BAKER,2.46,2.33,2.62,2.54,2.08
PSCI-387,2003A,WILLIAM F HARRIS,3.58,3.95,3.79,3.68,3.68
PSCI-432,2003A,MARIE GOTTSCHALK,3.47,2.76,3.65,3.06,3.39
PSCI-482,2003A,ANDREW NORRIS,3.50,3.50,3.50,3.67,2.83
PSCI-484,2003A,WILLIAM F HARRIS,3.33,3.17,3.58,3.25,3.00
PSCI-507,2008C,ROGERS M SMITH,3.60,2.90,3.90,3.50,3.00
PSCI-532,2005A,THOMAS M. CALLAGHY,3.90,3.15,3.85,3.75,3.85
PSCI-581,2009A,NANCY J. HIRSCHMANN,3.43,2.86,3.57,3.29,3.29
PPE-475,2016C,EDWARD ROYZMAN,3.36,1.91,3.36,3.45,2.09
PSYC-166,2010A,ACACIA C PARKS-SHEINER,3.12,1.96,3.20,3.00,2.20
