ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
MGMT-010,2002A,JOSHUA DAVID MARTIN,3.42,2.92,3.58,3.25,3.08
MGMT-013,2004C,WILLIAM M EVAN,3.13,2.38,3.50,3.13,2.69
MGMT-014,2004A,ANGELA FRANCESCO,3.42,2.08,3.25,3.50,2.42
MGMT-039,2004A,JOHANNES M PENNINGS,2.25,2.33,2.50,2.00,2.67
MGMT-100,2016C,MADELINE A BOYER,2.80,2.49,3.52,3.22,3.12
MGMT-101,2016C,KSHAMA JAIN,2.26,2.12,2.42,1.88,2.13
MGMT-104,2016C,SARA JANE MC CAFFREY,2.46,2.41,3.14,2.62,2.88
MGMT-209,2012A,SINZIANA DOROBANTU,3.10,2.00,3.13,3.04,2.39
MGMT-224,2003A,HELENE ELTING,2.79,1.75,2.71,2.75,2.13
MGMT-227,2002A,SHAWN MARCELL,3.55,2.64,3.82,3.64,2.82
MGMT-230,2016A,HENRY HAN,2.78,1.62,3.29,3.19,1.85
MGMT-231,2016A,PATRICK FITZGERALD,3.13,2.00,3.13,3.23,2.00
MGMT-234,2015C,JASON B JACKSON,2.94,2.17,3.43,2.92,2.13
MGMT-237,2016C,RAHUL KAPOOR,3.57,2.41,3.62,3.41,2.29
MGMT-238,2016C,ADAM M. GRANT,3.87,1.83,3.96,3.95,2.15
MGMT-239,2010A,JOHANNES M PENNINGS,1.46,1.80,1.57,1.47,1.80
MGMT-243,2002A,ELIZABETH A TULEJA,3.06,2.41,3.18,3.12,2.71
MGMT-244,2005A,STEFFANIE L WILK,3.00,2.05,3.52,3.05,2.24
MGMT-248,2004A,EDWARD B SHILS,2.85,1.74,3.06,2.74,2.32
MGMT-249,2016C,EMILIE R. FELDMAN,3.42,2.35,3.58,3.29,2.53
MGMT-250,2003A,ANNE M GREENHALGH,3.93,2.80,4.00,3.80,2.93
MGMT-251,2016C,ERIC S SIEGEL,2.03,2.52,2.26,1.68,3.33
LGST-206,2016C,KEITH W WEIGELT,2.44,1.44,2.46,2.29,1.26
LGST-215,2012C,ERIC WILLS ORTS,3.25,1.92,3.33,3.25,2.17
MGMT-011,2003C,BARBARA MOHEBBI,1.35,1.22,1.70,1.39,1.17
MGMT-015,2003A,STEPHEN W OLIVER,3.33,2.53,3.60,3.67,2.67
