ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
RELS-001,2012C,ORI TAVOR,2.65,2.00,2.80,2.82,2.00
RELS-002,2016A,ANNETTE YOSHIKO REED,2.38,2.25,2.59,2.62,2.41
RELS-003,2013A,E ANN MATTER,2.06,2.10,2.25,2.15,1.93
RELS-005,2016C,MEGAN E ROBB,3.48,2.14,3.77,3.71,2.81
RELS-009,2005C,WILLIAM C. GRUEN,3.53,2.20,3.80,3.67,2.07
RELS-104,2004A,STEPHEN N DUNNING,2.58,2.32,2.58,2.47,2.42
RELS-106,2009A,JASON N. BLUM,3.17,2.27,3.50,3.00,2.64
RELS-108,2002C,STEPHEN N DUNNING,2.69,2.69,3.15,2.69,2.62
RELS-112,2016C,ANTHEA BUTLER,3.59,2.43,3.59,3.86,2.38
RELS-135,2015C,ANNETTE YOSHIKO REED,3.35,1.83,3.35,3.17,2.17
RELS-173,2016A,JUSTIN THOMAS MCDANIEL,3.77,1.96,3.87,3.90,2.41
RELS-225,2016C,ANNETTE YOSHIKO REED,3.17,1.83,3.17,3.33,2.00
RELS-226,2002A,TALYA FISHMAN,2.67,2.00,2.50,2.67,2.00
RELS-263,2002A,THOMAS B. ELLIS,3.25,2.25,3.75,3.50,2.00
RELS-302,2004A,JAY C. TREAT,4.00,2.33,4.00,3.33,2.33
RELS-310,2015A,ANTHEA BUTLER,2.50,1.00,2.83,3.17,0.83
RELS-434,2014A,E ANN MATTER,3.67,2.33,3.67,3.83,2.50
RELS-500,2011C,STEPHEN N DUNNING,3.60,3.00,3.80,3.80,2.60
RELS-517,2016C,ANTHEA BUTLER,3.60,1.80,3.60,3.80,2.00
RELS-529,2002A,TALYA FISHMAN,3.88,3.38,4.00,4.00,3.63
RELS-535,2005C,ROBERT A KRAFT,2.88,3.00,3.38,3.13,2.88
RELS-545,2006C,KHALID Y BLANKINSHIP,2.00,2.00,2.25,2.50,2.00
RELS-552,2002A,ADITYA BEHL,3.50,2.25,3.75,3.50,3.50
RELS-562,2003C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-046,2002A,STEPHEN J. TINNEY,1.92,1.65,2.44,1.55,1.55
AMES-105,2003A,VALERIE STOKER,2.88,1.88,3.06,2.47,2.12
AMES-151,2003C,DAVID M. STERN,3.33,2.42,3.67,3.50,2.42
AMES-156,2005A,NATALIE B DOHRMANN,3.63,2.58,3.96,3.75,2.63
ANTH-594,2009A,MELVYN HAMMARBERG,3.11,1.78,3.33,2.67,1.67
FOLK-533,2003A,DAVID J HUFFORD,3.21,2.21,3.53,3.42,2.32
HSSC-025,2004C,HENRIKA KUKLICK,1.78,1.44,3.11,1.67,1.56
URBS-405,2016A,ANDREW T. LAMAS,3.09,2.37,3.14,3.53,2.63
RELS-015,2003A,ROBERT A KRAFT,2.83,2.42,3.17,3.08,2.42
RELS-102,2010A,SIGRID PETERSON,1.40,2.25,1.33,1.00,2.62
RELS-113,2011C,ELIZABETH Q CHURCHILL,4.00,2.33,4.00,4.00,2.67
RELS-116,2006C,JASON N. BLUM,2.68,2.05,3.27,3.23,2.36
RELS-217,2007A,LESLIE D. CALLAHAN,1.90,1.60,2.00,1.50,1.60
RELS-436,2006A,WILLIAM C. GRUEN,2.80,2.70,2.40,2.60,2.60
RELS-523,2012C,TALYA FISHMAN,4.00,3.00,4.00,4.00,3.00
RELS-538,2005A,STEPHEN N DUNNING,2.67,2.67,2.67,2.40,3.00
AMES-235,2003A,S. NOMANUL HAQ,2.44,2.89,3.11,3.11,3.44
AMES-248,2005A,DAN BEN-AMOS,2.42,1.63,2.89,2.53,1.61
AMES-252,2005A,DAVID M. STERN,3.29,2.13,3.42,3.25,2.29
AMES-256,2005A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-456,2003A,ADELE BERLIN,3.22,3.11,3.56,3.33,2.67
ANTH-124,2005A,ALEXIS T BOUTIN,2.56,2.56,3.00,2.33,2.61
GRMN-256,2015A,SIMON J RICHTER,3.00,2.44,3.26,3.63,2.67
SARS-010,2004C,ADITYA BEHL,2.60,2.60,3.60,2.80,3.00
SARS-208,2004A,CHRISTIAN LEE NOVETZKE,3.00,2.33,3.07,3.00,2.53
SARS-401,2003A,HARUNAGA ISAACSON,2.50,2.63,3.25,2.50,2.88
SARS-416,2003A,MUHAMMAD ASLAM SYED,3.00,2.00,3.25,2.75,1.75
RELS-103,2007A,JASON N. BLUM,3.64,2.71,3.93,3.86,2.57
RELS-006,2010C,STEPHEN LUKE BLAIR,2.29,3.15,2.07,2.08,3.69
RELS-105,2008A,TIRDAD DERAKHSHANI,2.27,2.55,2.45,2.00,2.70
RELS-117,2014C,ANTHEA BUTLER,2.00,1.67,2.00,2.67,2.00
RELS-143,2015A,KAMELIYA ATANASOVA,2.75,1.55,2.75,3.09,1.82
RELS-163,2013A,MANJITA MUKHARJI,1.80,2.00,2.20,1.00,2.33
RELS-202,2002C,CARL SEAQUIST,2.21,3.00,2.71,2.29,2.71
RELS-219,2002C,TALYA FISHMAN,2.41,1.89,3.17,2.00,2.00
RELS-412,2003C,LESLIE D. CALLAHAN,3.00,2.50,2.75,2.50,3.00
RELS-435,2005C,JAY C. TREAT,3.63,2.75,3.88,3.50,2.75
RELS-507,2008A,DAVID J HUFFORD,3.29,2.57,3.57,3.29,2.57
RELS-537,2015C,E ANN MATTER,3.80,3.40,4.00,3.80,3.20
AMES-152,2004C,BARRY L EICHLER,2.00,2.42,2.25,1.25,2.42
AMES-159,2002C,DAVID M. GOLDENBERG,3.14,2.07,3.21,3.07,2.93
AMES-166,2002C,DAVID P SILVERMAN,2.96,2.65,3.00,2.52,2.48
AMES-243,2004C,DAN BEN-AMOS,2.00,2.74,2.52,2.17,2.78
AMES-257,2005A,DAVID M. STERN,3.20,2.80,3.60,3.80,2.40
AMES-356,2004C,DAVID M. STERN,3.45,2.65,3.70,3.50,2.58
ANTH-240,2002C,IBTISAM IBRAHIM,2.33,2.00,3.00,2.00,2.67
HIST-140,2016C,DAVID B. RUDERMAN,2.78,2.56,2.83,3.24,2.39
HIST-201,2016A,DANIEL J.M. CHEELY,3.67,3.33,3.67,3.33,3.33
SARS-204,2002C,MUHAMMAD ASLAM SYED,3.00,2.00,3.50,3.50,2.00
RELS-101,2009B,SIGRID PETERSON,2.67,2.33,2.33,2.00,2.00
RELS-123,2008C,NATALIE B DOHRMANN,3.67,2.89,3.89,3.78,3.00
RELS-147,2003C,BARBARA R. VON SCHLEGELL,3.15,2.33,3.46,3.00,2.85
RELS-502,2005C,ANDREW B. NEWBERG,3.10,1.90,3.20,3.30,2.20
RELS-525,2006A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RELS-539,2009C,STEPHEN N DUNNING,2.00,3.33,2.25,2.00,3.00
AFAM-001,2004A,SHASTA F JONES,3.14,2.00,3.14,3.00,2.29
AMES-150,2004C,JEFFREY HOWARD TIGAY,3.53,2.69,3.75,3.27,2.92
AMES-165,2003C,ROBERT RITNER,3.92,3.08,3.92,3.62,2.83
AMES-489,2003C,FRANK L. CHANCE,2.09,2.00,2.45,2.27,2.00
AMES-550,2005A,BARRY L EICHLER,3.33,2.83,3.25,2.67,2.83
ANTH-142,2003C,JACQUELINE H FEWKES,3.75,2.25,3.75,4.00,2.25
HIST-150,2014C,BETH S. WENGER,3.45,1.80,3.59,3.67,2.20
HIST-410,2007C,EDWARD M PETERS,2.92,2.83,3.33,2.58,2.83
PHIL-234,2010C,JOSEPH CORABI,2.82,2.53,3.23,3.10,2.20
PHIL-429,2010A,JAMES F ROSS,2.33,2.67,2.33,2.33,2.67
SARS-203,2003C,ADITYA BEHL,3.57,2.57,3.57,3.14,2.86
SARS-433,2004C,CHRISTIAN LEE NOVETZKE,3.80,3.00,4.00,3.80,3.20
RELS-107,2004C,LESLIE D. CALLAHAN,2.58,2.17,2.50,2.25,2.00
RELS-129,2012C,NATALIE B DOHRMANN,4.00,2.75,3.89,4.00,3.25
RELS-427,2004C,ROBERT A KRAFT,4.00,3.50,4.00,4.00,2.50
RELS-433,2013C,E ANN MATTER,4.00,3.00,4.00,4.00,3.00
RELS-438,2015C,JAY C. TREAT,3.83,3.00,3.83,3.67,3.33
RELS-522,2004C,FRED KANARFOGEL,2.86,2.29,3.57,2.86,2.14
