ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
HSOC-002,2016C,DAVID S. BARNES,3.26,2.51,3.64,3.67,2.87
HSOC-048,2006C,DAVID S. BARNES,3.13,2.88,3.50,3.13,3.75
HSOC-050,2008C,DAVID S MANDELL,2.94,2.31,3.44,2.63,2.50
HSOC-260,2016A,ANDRIA B. JOHNSON,2.75,2.50,2.95,3.00,3.13
HSOC-430,2016C,ROBERT A. ARONOWITZ,3.00,2.00,3.43,3.38,2.86
PHIL-026,2016C,ZOLTAN DOMOTOR,2.75,2.69,3.32,3.33,1.69
PHIL-425,2016C,ZOLTAN DOMOTOR,2.72,2.08,3.00,3.23,1.15
RELS-116,2006C,JASON N. BLUM,2.68,2.05,3.27,3.23,2.36
SOCI-111,2016C,HANS-PETER KOHLER,2.11,2.36,2.42,2.35,2.19
STSC-162,2012A,ANDRIA B. JOHNSON,3.09,2.30,3.35,3.20,2.60
STSC-179,2013A,ANN NORTON GREENE,3.35,2.40,3.76,3.53,3.00
STSC-465,2011B,NATHAN ENSMENGER,3.67,1.75,3.67,3.75,2.25
STSC-001,2016C,JOHN TRESCH,2.64,2.37,3.16,3.04,2.33
STSC-009,2008A,ELIZABETH R MACKENZIE,2.00,1.79,2.21,2.21,2.21
STSC-018,2016C,SEBASTIAN GIL-RIANO,0.25,2.50,0.50,0.25,2.25
STSC-023,2007C,JOHN TRESCH,3.13,2.44,3.44,3.25,2.63
STSC-028,2011C,HENRIKA KUKLICK,2.31,2.18,2.31,2.18,2.40
STSC-060,2007C,NATHAN ENSMENGER,3.40,1.90,3.90,3.60,2.50
STSC-081,2007C,CAMILLE ROBCIS,2.67,3.25,3.33,2.42,3.25
STSC-112,2007C,MARY SUSAN LINDEE,3.08,2.36,3.43,3.07,2.64
STSC-135,2015C,JOHN CECCATTI,3.11,1.88,3.48,3.06,2.29
STSC-145,2008C,STEVEN FEIERMAN,3.25,2.07,3.44,3.02,2.56
STSC-160,2016A,ADELHEID VOSKUHL,2.54,2.46,2.94,2.67,2.20
STSC-288,2011C,HENRIKA KUKLICK,2.44,1.56,2.68,2.50,1.67
STSC-369,2010A,JODY A ROBERTS,2.30,2.20,2.52,2.30,2.20
STSC-428,2009C,RUTH S. COWAN,2.60,2.80,2.60,2.00,3.00
GRMN-253,2015A,LILIANE WEISSBERG,3.02,2.32,3.35,3.44,2.36
HSOC-008,2008A,PAUL BRIAN BURNETT,2.42,2.08,2.67,2.50,2.08
HSOC-140,2016A,MEGHAN L CRNIC,3.89,1.94,3.94,3.88,2.41
STSC-003,2016A,ETIENNE S BENSON,2.64,2.37,3.10,2.66,2.50
STSC-110,2016A,MARK B ADAMS,3.43,2.31,3.29,3.54,3.54
STSC-182,2010A,HENRIKA KUKLICK,2.57,1.60,3.00,2.82,1.55
GSOC-242,2010A,SHANNON B. LUNDEEN,3.24,2.62,3.47,3.67,3.00
HSOC-010,2016A,RAMAH MCKAY,2.58,2.22,2.85,2.75,2.54
HSOC-206,2016C,RAMAH MCKAY,3.25,2.41,3.58,3.56,2.59
HSOC-252,2010C,RACHEL ZURAW,3.50,2.44,3.50,3.28,2.22
HSOC-259,2016A,ELIZABETH R MACKENZIE,2.88,1.73,3.00,3.31,2.00
HSOC-420,2016A,MEGHAN L CRNIC,3.92,2.92,4.00,3.92,3.69
STSC-008,2008C,ANDRIA B. JOHNSON,3.08,1.92,3.23,3.08,2.38
STSC-061,2009C,MARA C MILLS,3.08,1.85,3.69,3.46,2.54
STSC-119,2009A,JOHN CECCATTI,2.20,1.50,2.60,2.50,1.75
STSC-212,2016C,MARY SUSAN LINDEE,2.57,2.68,2.84,2.83,2.78
STSC-272,2016A,ANN NORTON GREENE,3.00,2.54,3.54,3.33,2.92
STSC-319,2016A,ABRAHAM H GIBSON,3.30,2.22,3.70,3.50,2.67
STSC-454,2009A,DAVID J. CARUSO,2.24,3.25,2.35,2.00,3.06
ANTH-260,2015C,ADRIANA PETRYNA,3.69,2.00,3.77,3.75,2.88
HSOC-051,2009A,JONATHAN D MORENO,3.27,2.09,3.55,3.64,1.64
